,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,dynamics_profile_amplitude,dynamics_profile_start_frequency,dynamics_profile_stop_frequency,dynamics_profile_start_window,dynamics_profile_stop_window,dynamics_profile_sweep_duration,iv_sweep_mask_cell_string_,iv_sweep_steps,iv_sweep_min_current,iv_sweep_max_current,iv_sweep_duty_cycle,camera_1_on_off,camera_2_on_off,camera_3_on_off,camera_4_on_off,word_22_spare,video_output_camera_no,dynamics_profile_amplitude_start,dynamics_profile_amplitude_stop,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,word_31_spare,current_telemetry_format
48,09/27/2016 01:55:00.0501,402,1,0,51,48,0,0,0,1,1029,3,35,49,1659086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,20626,20626,20626,20626,20626,20626,0
49,09/27/2016 01:55:00.0591,402,1,0,51,48,0,0,0,1,1029,3,35,49,1659086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,20626,20626,20626,20626,20626,20626,0
50,09/27/2016 01:55:00.9502,402,1,0,51,48,0,0,0,1,1029,3,36,49,1660086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,21626,21626,21626,21626,21626,21626,0
51,09/27/2016 01:55:00.9602,402,1,0,51,48,0,0,0,1,1029,3,36,49,1660086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,21626,21626,21626,21626,21626,21626,0
52,09/27/2016 01:55:02.0543,402,1,0,51,48,0,0,0,1,1029,3,37,49,1661086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,22626,22626,22626,22626,22626,22626,0
53,09/27/2016 01:55:02.9564,402,1,0,51,48,0,0,0,1,1029,3,38,49,1662086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,23626,23626,23626,23626,23626,23626,0
54,09/27/2016 01:55:04.0485,402,1,0,51,48,0,0,0,1,1029,3,39,49,1663086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,24626,24626,24626,24626,24626,24626,0
55,09/27/2016 01:55:04.0585,402,1,0,51,48,0,0,0,1,1029,3,39,49,1663086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,24626,24626,24626,24626,24626,24626,0
56,09/27/2016 01:55:04.9496,402,1,0,51,48,0,0,0,1,1029,3,40,49,1664086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,25626,25626,25626,25626,25626,25626,0
57,09/27/2016 01:55:04.9596,402,1,0,51,48,0,0,0,1,1029,3,40,49,1664086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,25626,25626,25626,25626,25626,25626,0
