,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,damper_voltage_1,damper_voltage_2,word_13_spare,word_14_spare,word_15_spare,word_16_spare,temperature_1_left_damper,temperature_2_right_damper,temperature_3_center_mandrel,temperature_4_left_boom,temperature_5_right_boom,temperature_6_spm_1,temperature_7_spm_2,temperature_8_spm_3,temperature_9_spm_4,temperature_10_spm_5,temperature_11_spm_6,temperature_12_retraction_motor,temperature_13_spare,temperature_14_spare,temperature_15_spare,temperature_16_spare
20811,09/27/2016 02:01:45.0426,,402,1,0,52,48,0,0,0,1,1032,3,880,49,2063887,0,0,0.0709838867188,0.0660400390625,32210.0,32210.0,32210.0,32210.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20812,09/27/2016 02:01:45.9007,,402,1,0,52,48,0,0,0,1,1032,3,881,49,2064387,0,0,0.0709838867188,0.066162109375,32710.0,32710.0,32710.0,32710.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20813,09/27/2016 02:01:45.9457,,402,1,0,52,48,0,0,0,1,1032,3,882,49,2064887,0,0,0.0709838867188,0.0660400390625,33210.0,33210.0,33210.0,33210.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20814,09/27/2016 02:01:47.0018,,402,1,0,52,48,0,0,0,1,1032,3,883,49,2065387,0,0,0.0709838867188,0.0659790039062,33710.0,33710.0,33710.0,33710.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20815,09/27/2016 02:01:47.0448,,402,1,0,52,48,0,0,0,1,1032,3,884,49,2065887,0,0,0.0709838867188,0.0662841796875,34210.0,34210.0,34210.0,34210.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20816,09/27/2016 02:01:47.8999,,402,1,0,52,48,0,0,0,1,1032,3,885,49,2066387,0,0,0.0709838867188,0.0661010742188,34710.0,34710.0,34710.0,34710.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20817,09/27/2016 02:01:47.9439,,402,1,0,52,48,0,0,0,1,1032,3,886,49,2066887,0,0,0.0709838867188,0.0660400390625,35210.0,35210.0,35210.0,35210.0,-240.875,268.5,268.25,268.25,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20818,09/27/2016 02:01:49.0000,,402,1,0,52,48,0,0,0,1,1032,3,887,49,2067387,0,0,0.0709838867188,0.0662231445312,35710.0,35710.0,35710.0,35710.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20819,09/27/2016 02:01:49.0470,,402,1,0,52,48,0,0,0,1,1032,3,888,49,2067887,0,0,0.0709838867188,0.066162109375,36210.0,36210.0,36210.0,36210.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20820,09/27/2016 02:01:49.9031,,402,1,0,52,48,0,0,0,1,1032,3,889,49,2068387,0,0,0.0709838867188,0.0660400390625,36710.0,36710.0,36710.0,36710.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20821,09/27/2016 02:01:49.9481,,402,1,0,52,48,0,0,0,1,1032,3,890,49,2068887,0,0,0.0709838867188,0.0659790039062,37210.0,37210.0,37210.0,37210.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20822,09/27/2016 02:01:51.0062,,402,1,0,52,48,0,0,0,1,1032,3,891,49,2069387,0,0,0.0709838867188,0.0659790039062,37710.0,37710.0,37710.0,37710.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20823,09/27/2016 02:01:51.0502,,402,1,0,52,48,0,0,0,1,1032,3,892,49,2069887,0,0,0.0709838867188,0.0659790039062,38210.0,38210.0,38210.0,38210.0,268.75,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.25,268.25,273.25,273.25,273.0,273.0
20824,09/27/2016 02:01:51.8983,,402,1,0,52,48,0,0,0,1,1032,3,893,49,2070387,0,0,0.0709838867188,0.0659790039062,38710.0,38710.0,38710.0,38710.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20825,09/27/2016 02:01:51.9393,,402,1,0,52,48,0,0,0,1,1032,3,894,49,2070887,0,0,0.0709838867188,0.0661010742188,39210.0,39210.0,39210.0,39210.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20826,09/27/2016 02:01:52.9964,,402,1,0,52,48,0,0,0,1,1032,3,895,49,2071387,0,0,0.0709838867188,0.0660400390625,39710.0,39710.0,39710.0,39710.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20827,09/27/2016 02:01:53.0424,,402,1,0,52,48,0,0,0,1,1032,3,896,49,2071887,0,0,0.0709838867188,0.0659790039062,40210.0,40210.0,40210.0,40210.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20828,09/27/2016 02:01:53.8905,,402,1,0,52,48,0,0,0,1,1032,3,897,49,2072387,0,0,0.0709838867188,0.0659790039062,40710.0,40710.0,40710.0,40710.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20829,09/27/2016 02:01:53.9345,,402,1,0,52,48,0,0,0,1,1032,3,898,49,2072887,0,0,0.0709838867188,0.0659790039062,41210.0,41210.0,41210.0,41210.0,20.109375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20830,09/27/2016 02:01:54.9886,,402,1,0,52,48,0,0,0,1,1032,3,899,49,2073387,0,0,0.0709838867188,0.0662231445312,41710.0,41710.0,41710.0,41710.0,20.1875,268.25,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.25,273.25,273.0,273.25
20831,09/27/2016 02:01:55.0326,,402,1,0,52,48,0,0,0,1,1032,3,900,49,2073887,0,0,0.0709838867188,0.066162109375,42210.0,42210.0,42210.0,42210.0,20.1875,268.25,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.25,273.25,273.0,273.25
